AId,ANo,BId,GId
113332,7963131,740149,872
114416,8032861,743992,4715
115437,8037007,748129,8852
115603,7962739,739757,480
115616,7962841,739859,582
115826,8034127,745249,5972
115862,8034427,745549,6272
116696,8034062,745184,5907
116933,8035957,747079,7802
117048,8036895,748017,8740
117142,8037636,748758,9481
117606,8036255,747377,8100
117647,8036574,747696,8419
117651,8036606,747728,8451
117883,8031683,742826,3549
117908,8031883,743026,3749
118215,8038065,749187,9910
118414,8039667,750789,11512
119681,8040599,751721,12444
120119,9760277,755421,16144
120453,8031059,742202,2925
120578,8032031,743174,3897
120672,8032808,743939,4662
121490,8036445,747567,8290
122024,7975049,131028,294
122090,8047181,621193,143
122319,8038656,749778,10501
122398,8039285,750407,11130
122464,8039792,750914,11637
122554,8040528,751650,12373
122982,8039634,750756,11479
123258,7968408,561539,1
123390,7972277,731807,1
123809,8040643,751765,12488
124129,7976685,547052,10
124305,7961477,608795,6
124315,7972820,93547,34
124931,8043504,754589,15312
124956,8043706,754789,15512
125128,8042071,753193,13916
125378,7966925,104495,122
125447,7976053,485896,199
125524,8053965,394668,154
125868,8043727,754810,15533
126273,8041113,752235,12958
126556,8043421,754506,15229
126735,8043565,754650,15373
127088,1002871,274091,11
127214,1047209,256431,7
127320,2707026,714159,66
127407,7960640,163992,149
127459,1091448,468361,0
127523,1152247,545241,4
127593,1224580,203020,1
127700,9779555,105384,87
127837,1688334,141344,0
128319,8029099,211212,451
128479,1046626,332580,31
128521,712477,270438,153
129279,757247,39842,0
129934,3343391,337587,8
130122,825348,695713,1019
130647,7955273,563339,1235
130673,7955523,563530,1426
130812,7956160,466644,85
130975,8639903,355639,35
131085,7976408,250180,1
131265,7967956,216671,856
131298,7968206,216919,1104
132252,8045260,131077,343
132369,7961328,153170,11
132573,8049609,109854,443
132661,7978311,352357,127
133120,8049644,7136,14
133481,8052851,233180,74
133591,7966864,104434,61
133905,8050463,352862,632
134118,7966647,607879,1
134441,7967635,216350,535
134648,8047270,621240,190
134687,7968818,441518,1
134710,7976254,478388,7
134811,7967555,216272,457
135158,8052035,76152,445
135199,7972649,17537,1
135505,7971808,702543,20
135732,7978624,352654,424
135829,7961822,843292,16
135945,8051584,75841,134
135966,8052134,76229,522
136008,7972675,628211,2
136492,7966894,104464,91
136536,7975709,268365,7
136541,7975811,485899,25
136696,8054291,683754,80
136864,7968448,368942,3
136998,7966542,457520,24
137007,7970822,23020,1
137045,8054909,543310,108
137083,7971160,367883,19
137217,8049340,109648,237
137274,7970241,351110,1
137509,7976742,547060,58
137614,7977861,90701,40
137628,7968871,396333,4
137673,7971009,596503,1
137729,7971943,350316,27
137838,8326583,607430,12
137854,7975821,485899,33
138007,8054371,683826,152
138184,7971371,44664,16
138229,8053956,394659,145
138304,7962090,343818,2
138436,7967339,216056,241
138615,7974996,130977,243
138762,9497349,338160,27
138789,8048331,368317,453
139208,7970598,710222,4
139429,8052990,334925,115
139589,8053593,311569,43
139790,7349095,677316,4705
139985,7956345,444940,5
140178,8012415,375672,2
140204,7957949,684189,2
141247,8031400,742543,3266
141506,8113131,709418,371
141515,8113197,709484,437
141674,8198614,430790,191
141683,8198699,430869,270
141992,8203492,634319,9
142064,8243102,11892,123
142284,8300245,292168,906
142304,8071534,25176,2
142832,8133102,681511,2
142941,8167313,323722,21
143293,8192855,470375,36
143386,8281131,445023,1
144112,8154122,202343,21
144168,8033122,744249,4972
144287,8034075,745197,5920
144480,8035626,746748,7471
145008,8039855,750977,11700
145125,8040777,751899,12622
145265,8041910,753032,13755
145509,7969258,209303,89
145535,7970948,208561,8
145760,8234331,604617,1076
145810,8142130,287543,2
145849,8895877,195330,22
146028,8133589,404266,1
146145,8055094,26293,96
146441,8056666,192727,993
146523,7966493,460067,2
146582,8055472,726107,112
146837,10183779,3524,34
147392,7965148,192041,307
147556,8056982,724709,8
147842,8056710,192763,1029
147894,7961918,91100,54
148133,7965435,192305,571
148636,7969905,396077,137
149446,7969048,8122,23
149473,7974366,160496,31
149479,7974423,160549,84
149732,8694603,49036,208
149934,8096839,217376,1
150065,7972978,628871,35
150091,7979092,258086,1
151550,8237577,11748,1
151948,8694600,49033,205
152099,9758344,356669,28
152141,8128462,397588,2
152715,8223558,485660,112
152739,8223979,485660,332
152759,8224511,485646,464
153046,8231976,152633,474
153144,8223416,485669,6
153275,8222427,148373,39
153497,8084906,141591,5
153552,8302987,543487,1
153770,8099650,434417,1
153953,8229729,6817,2
154302,8216977,430089,2
154758,8225885,471560,5
154845,8233166,213339,21
155277,8085874,253000,3
155464,8028942,211093,332
155480,8029109,211220,459
155502,8029195,689132,115
155725,3175342,553263,179
156070,8116090,613185,4
156216,8280727,471637,9
156407,8224757,485670,496
156409,8224766,485681,500
156889,8087709,577457,14
157508,8057907,325632,1536
157548,8058440,326149,2053
157642,747189,694040,95
157932,755978,190608,0
158351,7968241,216954,1139
158378,7972153,556555,33
158587,7966305,101267,8
158676,8049247,109570,159
159189,7976283,637329,1
159327,7975130,254583,15
159546,8112898,709185,138
159658,8139353,345204,28
159751,8198666,430840,241
160191,8177135,149950,57
160498,8396022,638541,9
160504,8404933,482115,15
161333,8299820,291745,483
161480,8187111,702593,6
161777,8187399,169700,1
162489,8222261,4981,61
162936,10152891,622156,1
163019,8607904,717921,0
163031,8696480,180991,1
163230,9753776,77244,344
163509,8299695,291620,358
163621,8323991,350987,65
163718,8138483,98796,2
163877,8291505,530715,7
164126,8065940,392594,1
164462,8165980,195783,1
164521,10183658,35510,36
164538,10184258,274882,18
164664,8121788,24812,2
165012,8071118,716415,1
165713,8138862,182164,268
165792,8122317,49897,63
166106,8122982,454657,26
166140,8147973,453689,1
166226,8149427,762249,5
166619,8167774,631102,4
166685,8136922,769197,1
166995,8282703,144180,79
167068,8130437,638008,37
167239,8079429,153402,2
167284,8073486,132733,21
167350,8134954,334045,27
167440,8096482,471684,29
167551,8120914,54835,1
167981,8276106,758205,5
168385,8291751,546455,6
168435,8120951,221015,7
168618,8290828,255196,1
168994,8193120,556106,3
169054,8188551,355244,56
169146,8177480,321604,19
169290,8072074,278270,1
169441,8173821,157912,31
169470,8133475,275875,2
169475,8177038,129989,2
169572,8122184,284875,32
169802,8140825,172718,9
169977,8306245,732823,1
170223,8054899,543304,102
170321,8056149,760170,30
170426,7965084,191977,243
170720,8701729,159290,0
171322,10181549,481477,0
171375,10187701,391006,1
171443,10013378,541794,35
171481,9753486,76972,72
171537,9832551,553800,3
171757,9753815,77283,383
172271,10042964,436762,0
172469,10189146,568774,5
173071,9206925,229124,3
173078,9249434,760128,0
173287,9948550,490391,4
173518,10187395,637144,0
173596,10190010,156732,13
173634,7974408,160536,71
174217,8134684,488302,3
174440,8142989,390474,2
174532,8283456,364023,5
174537,8239504,34265,11
174540,8172637,529866,1
174607,8173137,609782,98
175113,655278,96672,0
175292,1607815,633826,47
175424,653092,95850,0
175716,659605,738750,0
175720,659637,738753,0
175736,659756,483555,0
175769,660007,738801,0
176304,653327,201620,0
176609,745073,686695,0
176627,755654,595739,126
177052,596913,283318,5
177056,7174891,54091,21
177485,658876,482736,0
177851,658918,429856,0
177937,659620,483539,0
178112,661020,281444,0
178169,661481,270606,0
178197,660487,538399,0
178207,660569,538410,0
178548,870420,22242,85
178588,895238,388999,4
178629,938040,581725,22
178668,1101945,304839,2
178997,654755,222468,0
179003,654805,222474,0
179032,655048,490582,0
179196,661517,221569,0
179446,871098,537707,2
179463,895230,388997,2
179722,657063,483425,0
180035,661139,281459,0
180095,661625,97129,0
180171,693552,624412,0
180553,894093,20169,13
180654,944340,221722,0
180790,8300036,291959,697
180805,8300168,292091,829
180976,8127381,196735,24
181208,8192790,567073,37
181310,8215553,204530,1
181335,8166871,250584,17
181458,8143289,143468,2
181714,8154104,202325,3
181729,8069272,307586,1
182262,7145475,443389,6
