,Unnamed: 0,hourBeginning,Actual_MW,zone,zone_short,load_type,zone_loadtype,WT_Fcst_MW,QA_Fcst_MW
212,212,2020-05-09 01:00:00-04:00,357.092,4004,CT,CI,CT_CI,364.14,383.738538143819
213,213,2020-05-09 00:00:00-04:00,356.945,4004,CT,CI,CT_CI,354.29,396.672350306696
214,214,2020-05-09 10:00:00-04:00,339.611,4004,CT,CI,CT_CI,342.49,427.052976359615
215,215,2020-05-09 23:00:00-04:00,333.577,4004,CT,CI,CT_CI,347.83,384.231799759608
216,216,2020-05-10 09:00:00-04:00,310.753,4004,CT,CI,CT_CI,354.82,352.673760184277
217,217,2020-05-10 16:00:00-04:00,305.183,4004,CT,CI,CT_CI,341.29,374.79933635046905
218,218,2020-05-10 23:00:00-04:00,312.906,4004,CT,CI,CT_CI,337.4,380.536120717211
219,219,2020-05-10 22:00:00-04:00,314.489,4004,CT,CI,CT_CI,336.51,384.108276155532
220,220,2020-05-10 21:00:00-04:00,325.235,4004,CT,CI,CT_CI,343.79,391.085574861324
221,221,2020-05-10 20:00:00-04:00,338.929,4004,CT,CI,CT_CI,369.33,385.717869791523
222,222,2020-05-10 19:00:00-04:00,330.959,4004,CT,CI,CT_CI,360.34,376.044720281913
223,223,2020-05-10 18:00:00-04:00,319.806,4004,CT,CI,CT_CI,354.24,379.58919325866
224,224,2020-05-10 17:00:00-04:00,314.375,4004,CT,CI,CT_CI,350.44,378.516194086132
225,225,2020-05-10 15:00:00-04:00,301.766,4004,CT,CI,CT_CI,334.58,371.724502427744
226,226,2020-05-10 14:00:00-04:00,294.399,4004,CT,CI,CT_CI,327.31,371.78471748869697
227,227,2020-05-10 13:00:00-04:00,301.089,4004,CT,CI,CT_CI,330.35,372.882234846532
228,228,2020-05-10 11:00:00-04:00,306.142,4004,CT,CI,CT_CI,330.11,369.627117358033
229,229,2020-05-10 12:00:00-04:00,302.089,4004,CT,CI,CT_CI,328.88,372.69379569509897
230,230,2020-05-10 08:00:00-04:00,317.066,4004,CT,CI,CT_CI,357.57,350.341645530692
231,231,2020-05-10 07:00:00-04:00,324.272,4004,CT,CI,CT_CI,364.42,347.256748241085
232,232,2020-05-10 06:00:00-04:00,351.097,4004,CT,CI,CT_CI,363.0,343.87843636488395
233,233,2020-05-10 05:00:00-04:00,352.802,4004,CT,CI,CT_CI,359.71,346.117066892357
234,234,2020-05-10 04:00:00-04:00,355.858,4004,CT,CI,CT_CI,359.53,353.32619083572
235,235,2020-05-10 03:00:00-04:00,360.907,4004,CT,CI,CT_CI,354.84,354.369261855996
236,236,2020-05-10 02:00:00-04:00,358.813,4004,CT,CI,CT_CI,351.43,357.346532866936
237,237,2020-05-10 01:00:00-04:00,341.462,4004,CT,CI,CT_CI,351.49,363.851723603679
238,238,2020-05-10 00:00:00-04:00,332.259,4004,CT,CI,CT_CI,349.97,372.139796057365
239,239,2020-05-10 10:00:00-04:00,307.149,4004,CT,CI,CT_CI,342.24,361.662563645216
240,240,2020-05-11 16:00:00-04:00,460.465,4004,CT,CI,CT_CI,529.87,576.74181339003
241,241,2020-05-11 13:00:00-04:00,501.094,4004,CT,CI,CT_CI,576.7,612.488234814677
242,242,2020-05-11 14:00:00-04:00,489.261,4004,CT,CI,CT_CI,549.4,603.95643667554
243,243,2020-05-11 15:00:00-04:00,477.023,4004,CT,CI,CT_CI,534.62,594.148661578988
244,244,2020-05-11 17:00:00-04:00,452.041,4004,CT,CI,CT_CI,519.17,555.2825316358781
245,245,2020-05-11 21:00:00-04:00,395.447,4004,CT,CI,CT_CI,436.79,475.39507956811
246,246,2020-05-11 19:00:00-04:00,430.798,4004,CT,CI,CT_CI,498.91,498.963275925095
247,247,2020-05-11 20:00:00-04:00,424.39,4004,CT,CI,CT_CI,494.59,490.115670566168
248,248,2020-05-11 22:00:00-04:00,374.265,4004,CT,CI,CT_CI,407.09,450.816696862497
249,249,2020-05-11 12:00:00-04:00,508.148,4004,CT,CI,CT_CI,576.63,611.2226872068189
250,250,2020-05-11 23:00:00-04:00,360.165,4004,CT,CI,CT_CI,396.19,425.9546988057321
251,251,2020-05-11 18:00:00-04:00,436.26,4004,CT,CI,CT_CI,496.76,526.328064218399
252,252,2020-05-11 11:00:00-04:00,513.91,4004,CT,CI,CT_CI,563.71,609.560349733345
253,253,2020-05-11 03:00:00-04:00,343.903,4004,CT,CI,CT_CI,361.64,372.462894504987
254,254,2020-05-11 09:00:00-04:00,468.828,4004,CT,CI,CT_CI,531.55,564.950373261002
255,255,2020-05-11 08:00:00-04:00,436.151,4004,CT,CI,CT_CI,503.37,523.272811662939
256,256,2020-05-11 07:00:00-04:00,418.367,4004,CT,CI,CT_CI,469.31,474.501872752747
257,257,2020-05-11 06:00:00-04:00,402.64,4004,CT,CI,CT_CI,446.67,426.11095770409503
258,258,2020-05-11 05:00:00-04:00,372.052,4004,CT,CI,CT_CI,408.83,396.80683299664
259,259,2020-05-11 04:00:00-04:00,352.669,4004,CT,CI,CT_CI,378.44,381.865438649138
260,260,2020-05-11 02:00:00-04:00,334.286,4004,CT,CI,CT_CI,348.22,372.71437672209504
261,261,2020-05-11 01:00:00-04:00,330.882,4004,CT,CI,CT_CI,336.85,377.11884510645
262,262,2020-05-11 00:00:00-04:00,327.258,4004,CT,CI,CT_CI,332.44,384.768663720769
263,263,2020-05-11 10:00:00-04:00,501.951,4004,CT,CI,CT_CI,547.12,595.961001393942
264,264,2020-05-12 07:00:00-04:00,430.91,4004,CT,CI,CT_CI,490.28,478.650891444472
265,265,2020-05-12 06:00:00-04:00,418.238,4004,CT,CI,CT_CI,476.32,430.57179111896
266,266,2020-05-12 05:00:00-04:00,394.273,4004,CT,CI,CT_CI,440.99,403.273042584053
267,267,2020-05-12 04:00:00-04:00,376.45,4004,CT,CI,CT_CI,409.7,391.115807848517
